Reklam grubu,RSA,Tema,Alan,Metin,Karakter
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 10,Starts 3 October,16
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 11,Taksim Pera · 4 October,23
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 12,For International Schools,25
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 13,Limited Places,14
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 14,Early Enrolment Period,22
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 15,Techne Lab Istanbul,19
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Açıklama 1,"Eight months of drama in English, one session a week. A staged show every May.",78
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Açıklama 2,"Not a language course. Children use English on stage, with an audience at the end.",82
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Açıklama 3,"Age-based groups of twelve. Kadikoy starts 3 October, Taksim Pera 4 October.",76
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Açıklama 4,"Improvisation, character and text work. Open the page for the full calendar.",76
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 1,The Auteur Lab,14
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 2,Yaratıcı Yazarlık Atölyesi,26
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 3,Oyun Yazarlığı · Dramaturji,27
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 4,Sekiz Haftalık Modül,20
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 5,7 Ekim Çarşamba · Kadıköy,25
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 6,Sophokles'ten Beckett'e,23
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 7,"Roman, Senaryo ve Oyun",22
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 8,On Kişilik Grup,15
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 9,Yapıyı Görmeyi Öğren,20
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 10,Metin Nasıl Kurulur,19
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 11,Modüller Ayrı Alınabilir,24
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 12,Halil Yağız Şanal ile,21
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 13,Kadıköy · Çarşamba,18
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 14,Erken Kayıt Dönemi,18
YARATICI YAZARLIK,RSA 5-A,Kategori,Başlık 15,Techne Lab İstanbul,19
YARATICI YAZARLIK,RSA 5-A,Kategori,Açıklama 1,Sophokles'ten Beckett'e uzanan bir okuma hattı. Metnin neden işlediğini görmekle başlar.,88
YARATICI YAZARLIK,RSA 5-A,Kategori,Açıklama 2,"Sekiz haftalık modül. Roman, senaryo ve oyun aynı zeminden besleniyor. Kadıköy.",79
YARATICI YAZARLIK,RSA 5-A,Kategori,Açıklama 3,On kişilik grup. Her hafta yazılan metin üzerine dramaturgik geri bildirim.,75
YARATICI YAZARLIK,RSA 5-A,Kategori,Açıklama 4,"7 Ekim Çarşamba başlıyor. Modüller ayrı ayrı alınabiliyor, takvim sayfada.",74
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 1,Yazmak İstiyorum Ama,20
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 2,Nereden Başlanır,16
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 3,Yazarlığa Yapıdan Başla,23
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 4,Sekiz Haftada Temel,19
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 5,Metin Analizi ve Yapı,21
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 6,"Karakter, Çatışma, Alt Metin",28
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 7,Roman ve Senaryo İçin de,24
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 8,On Kişilik Atölye,17
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 9,Kadıköy · 7 Ekim Çarşamba,25
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 10,Deneyim Şartı Yok,17
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 11,Yaş Sınırı Yok,14
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 12,Dramaturji Atölyesi,19
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 13,Modül Modül İlerler,19
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 14,Erken Kayıt Dönemi,18
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Başlık 15,The Auteur Lab,14
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Açıklama 1,"Bu bir başlangıç programı ama teknikle başlamıyor. Önce metin neden işler, ona bakıyoruz.",89
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Açıklama 2,"Karakter arkı, çatışma, alt metin ve yapı. Bakış yerleşince biçim ikincil kalıyor.",82
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Açıklama 3,"Daha önce yazmamış olmak engel değil. On kişilik grup, Kadıköy, 7 Ekim Çarşamba.",80
YARATICI YAZARLIK,RSA 5-B,"""Yazmak istiyorum ama nereden""",Açıklama 4,Sekiz haftalık ilk modül. Devam kararını modül sonunda verirsiniz.,66
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 1,Romanın Ortasında Kaldın,24
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 2,Senaryo Yapısı Çalışması,24
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 3,Yapı Sorununu Çöz,17
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 4,Dramaturjik Geri Bildirim,25
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 5,Sekiz Haftalık Modül,20
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 6,Oyun Yazarlığı Atölyesi,23
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 7,Sophokles'ten Beckett'e,23
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 8,On Kişilik Grup,15
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 9,Kadıköy · 7 Ekim Çarşamba,25
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 10,Kendi Sesini Kur,16
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 11,Metin Neden İşler,17
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 12,Roman · Senaryo · Oyun,22
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 13,Halil Yağız Şanal,17
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 14,Erken Kayıt Dönemi,18
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Başlık 15,Techne Lab İstanbul,19
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Açıklama 1,"Başladığınız metin ortada duruyorsa sorun genelde ilhamda değil, yapıda oluyor.",79
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Açıklama 2,"Metin analizi, karakter arkı ve çatışma üzerinden dramaturgik okuma ve geri bildirim.",85
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Açıklama 3,"Roman, senaryo ve oyun aynı zeminden besleniyor. Biçim seçimi sonra geliyor.",76
YARATICI YAZARLIK,RSA 5-C,Roman / senaryo yapı sorunu,Açıklama 4,"On kişilik grup, Kadıköy, 7 Ekim Çarşamba. Takvim ve kontenjan için sayfayı açın.",81
